embedding_dimension,PC1_n8,PC2_n8,PC3_n8,PC4_n8,PC5_n8,PC6_n8,PC7_n8,PC8_n8
W2V_082,-0.0021852294904175762,0.0036473957456598953,0.10758127563204528,0.06756171230496863,-0.031032030354291962,-0.044156498069611826,-0.11900017474898343,-0.024979346743884617
W2V_083,-0.0076268137009882385,-0.0016760546638227517,-0.014354239054332425,0.01933690563330437,-0.009992526750504398,0.022803229194719398,-0.009143138477205484,-0.03637380428238643
W2V_084,-0.08848429023510389,-0.07484682497082429,-0.012568696562453732,-0.07327134826770162,-0.04903427319781692,0.044307357220596165,0.09602751923234643,-0.014331977695663434
W2V_085,-0.05054618903779205,0.02539655074561768,-0.1348624050569221,-0.017571889159432877,0.0024458273295731234,0.000997715850031594,-0.05768836997302567,0.03797704749030716
W2V_086,0.1064176030955372,0.05193526338195046,-0.013033896906790878,-0.030401607410737223,0.05181563140132834,-0.07258231292207008,-0.016981194179636953,-0.017259059466809105
W2V_087,0.0498615864287323,0.030312550463078368,-0.04806053511234646,-0.008859061033769867,-0.05671867343188402,0.02352153470644593,-0.0005197065879014607,-0.07397871984860085
W2V_088,0.008040831833021985,-0.030541963024394974,-0.03992308412911335,0.07741837508150738,-0.14127313898743538,-0.0076680952489268425,0.10682010031961289,0.048261018666779815
W2V_089,0.08066228795818521,-0.04244361208642376,0.06618518556510065,-0.03601546625385324,-0.02793788080146382,0.06198912136827866,-0.02468343612876435,0.04880327272222365
W2V_090,-0.014713968669480834,0.02007363581727117,-0.045390647231173406,0.041949624520671656,0.0774776414380858,0.01816060687431067,0.01538995350685439,0.004095593879201603
W2V_091,-0.17005498493770302,-0.027208412202722788,0.003964929825734798,-0.04426894726926201,0.005460136163223814,-0.00554254099996493,0.034842485479974705,-0.008328534398324327
W2V_092,0.06638494304595,0.12020669076109425,-0.06968625942744174,-0.05701871739726903,-0.1136277366748251,-0.05262732758107724,-0.0018998284307968252,0.05979602841863993
W2V_093,-0.06835521192891757,0.03720619067619876,-0.11362363395877802,-0.060031337026119104,-0.0268631550638211,0.00876775370908906,0.05148046953109203,-0.10370256955975952
W2V_094,0.03524330260516535,0.09375378489991285,-0.09625432814597329,0.06932706003908536,0.060611776573283496,0.005613360275359634,-0.12563574132722016,-0.09287378851197796
